SMILES,IC50_nM
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OCC5CN(CCO5)C,6.31
CC(C)OC1=CC2=C(CN(C2=O)C3=CC=CC(=N3)C4=NN=CN4C(C)CO)C=C1,6.31
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OCC5CN(CCO5)C,6.31
CC1CCCOC2=NN(C=C2C(=O)NC3=CC=CC(=N3)C4=NN=CN14)C,6.8
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC4CC4,6.9
CC1CCCOC2=C(C=CC(=C2)F)C(=O)NC3=CC=CC(=N3)C4=NN=CN14,7.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4CCC4(F)F,7.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(N=CC=C3)OC,7.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C4C(=CC=C3)N(CCO4)C,7.0
CC(C(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,7.0
CC(CO)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,7.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(N=CC(=C3)F)OC,7.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CCOC,7.3
C1=CC=C(C=C1)C(CN)OC2=CC(=C(N=C2)C3=COC=C3)C4=CNC5=C4C=CC=N5,7.9
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OCCOC,7.943
CC(CO)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OCCOC,7.943
C1CCOC2=C(C=C(C=C2)N3CCOCC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C1,8.0
CC1CCOC2=C(C=C(C(=C2)F)C3=CN(N=C3)CCN(C)C)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C1,8.0
C1CCOC2=C(C=CC(=C2)F)C(=O)NC3=CC=CC(=N3)C4=NN=CN4C1,8.0
CC1CCOC2=C(C=CC(=C2)F)C(=O)NC3=CC=CC(=N3)C4=NN=CN4C1,8.0
CS(=O)(=O)C1=CC2=C(C=C1)OCCCCN3C=NN=C3C4=NC(=CC=C4)NC2=O,8.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4CCOC4,8.0
CC(C)N1C=C(C(=O)C2=CC=CC=C21)C(=O)NC3=CC=C(C=C3)OC4=C5C=C(C(=CC5=NC=C4)OC)OC,9.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC4CC4,9.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,9.0
CC(CO)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,10.0
C1CCOC2=CC=CC=C2C(=O)NC3=CC=CC(=N3)C4=NN=CN4C1,11.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CN=CC=C4,11.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC4CC4,12.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,12.59
CC(CF)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,12.59
CC(CO)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OCCOC,12.59
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,12.59
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,12.9
CC1CCN2C=NN=C2C3=NC(=CC=C3)NC(=O)C4=CC=CC=C4OC1,13.0
C1CC1NC2=CC(=CC3=NC(=NN23)NC(=O)C4=CN=CC=C4)C(F)(F)F,13.0
CCN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C(F)(F)F,13.0
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)N4C=CN=C4,14.0
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)N4C=CN=C4,14.0
CC1CCOC2=CC=CC=C2C(=O)NC3=CC=CC(=N3)C4=NN=CN4C1,14.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,14.0
CC1(CCN(CC1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7)OC,14.2
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C(=N2)C=CC4=CC=CC=C43,15.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CCOC,15.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OC(C)C,15.85
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OCCOC,15.85
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)Cl,16.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CN=CN=C4,16.0
C1CCOC2=C(C=C(C=C2)F)C(=O)NC3=CC=CC(=N3)C4=NN=CN4C1,17.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CC=CC=N4,17.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C4=CN=C(C=C4)C5CC5,17.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,17.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN=CN=C3OC,17.0
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,17.6
CC(C)N1C=C(C(=O)C2=CC=CC=C21)C(=O)NC3=CC=C(C=C3)OC4=CN=NC5=CC(=C(C=C54)OC)OC,18.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC=CN(C3=O)C,18.0
CC(C)(C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)C4=CSC=C4)C(=O)O,19.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC4=C(C=CC=C4N3)C5=CN(N=C5)C,19.6
CCS(=O)(=O)NC1=CC=CC(=C1)C2=NNC3=C2C=C(C=C3)C4=NN=CN4C(C)C,19.8
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,19.9
CC(CC#N)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,19.95
CCC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,19.95
C1CCN2C=NN=C2C3=NC(=CC=C3)NC(=O)C4=CC=CC=C4OCC1,20.0
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,20.0
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,20.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4CC(C4)(F)F,20.0
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)C4=CN=CC=C4,21.0
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)Br,21.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CC(=CN=C4)N(C)C,21.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=NC=CN=C4,21.0
CC1=CN2C=C(N=C2C=C1)NC(=O)C3=CC=C(C=C3)C(C)(C)C,22.0
CCN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C,22.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC4=C(N3)C(=CC=C4)C5=CC=NC=C5,23.1
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C4=CN=C(C=C4)C5CC5,24.0
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,24.4
CN1C=C(C=N1)C2=CC3=C(C=C2)OCCCCN4C=NN=C4C5=NC(=CC=C5)NC3=O,25.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(N=CC(=C3)F)OC,25.0
CC(C)N1C=NN=C1C2=CC3=C(C=C2)NN=C3C4=CC=CC(=C4)C5=CN(N=C5)COC,26.9
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(N=CC=C3)OC,27.0
CC1=CC(=C(C=C1C(=O)N)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)OC,28.0
C1CCOC2=C(C=C(C=C2)N3CC4(C3)COC4)C(=O)NC5=CC=CC(=N5)C6=NN=CN6C1,28.0
CC1=CN(C=N1)C2=CC3=C(C=C2)OCCCCN4C=NN=C4C5=NC(=CC=C5)NC3=O,28.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CN=CC(=C4)C5CC5,28.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=NN(C=C3)C,29.0
CCOC(C)N1C=C(C=N1)C2=CC(=CC=C2)C3=NNC4=C3C=C(C=C4)C5=NN=CN5C(C)C,29.9
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)N4C=CC=C4,30.0
C1CCOC2=C(C=C(C=C2)Br)C(=O)NC3=CC=CC(=N3)C4=NN=CN4C1,31.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C4=CN=CC=C4,31.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4(CC4)C(F)(F)F,31.0
CC(COC)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,31.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)C5=CNN=C5,31.6
CC(CO)N1C=NN=C1C2=NC(=CC=C2)N3CC4=CC=CC=C4C3=O,31.62
CC(C)N1C=NN=C1C2=NC(=CC=C2)N3CC4=C(C3=O)C=C(C=C4)OC(C)C,31.62
CC(C)N1C=NN=C1C2=CC3=C(C=C2)NN=C3C4=CC(=C(C=C4)N5CCOCC5)N6C=C(N=C6)C7CC7,31.8
CC(C)(CO)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)N4C=CN=C4,32.0
CC1CCCOC2=NN(C=C2C(=O)NC3=CC=CC(=N3)C4=NN=CN14)C,32.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)NC3=NC=C4C(=N3)N=CN4,32.6
CC1=CC2=C(C=C1)C=C(N2)C(=O)NC3=CC=CC(=N3)C4=NN=CN4C(C)C,32.8
CC(CO)N1C=NN=C1C2=NC(=CC=C2)NC(=O)NC3=NN4C=CC=CC4=C3,33.8
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)F,34.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CCOC,35.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC(F)(F)F,36.0
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,37.0
CC1CCOC2=C(C=C(C(=C2)F)C3=CN(N=C3)CCN(C)C)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C1,37.0
CC(C)N1C=NN=C1C2=CC3=C(C=C2)NN=C3C4=CC(=CC=C4)N5C=NC(=N5)C6CC6,37.0
CC(C(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,37.0
