SMILES,pIC50
N(CCO)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3N(C)C1=O,4.60206
N(C=1N=C(C=CN1)C=2C=CC=NC2)C3=CC(NC(=O)C4=CC=C(CN5CCN(C)CC5)C=C4)=CC=C3C,5.0
CC12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5C(O1)CC(NC)C2OC)=CC=CC8,7.25964
C[C@@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@@](O1)(C[C@H](NC)[C@@H]2OC)[H])=CC=CC8,8.11748
O(CC1CCCCC1)C2=C3C(=NC(N)=N2)N=CN3,4.60033
C(OCC)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3NC1=O,6.30103
C(OCC)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3NC1=O,5.52288
N(C=1C2=C(C=C(OCCOC)C(OCCOC)=C2)N=CN1)C3=CC(C#C)=CC=C3,5.0
C(C#N)(C1=C(Cl)C=C(NC(=O)C2=C(O)C=CC(Cl)=C2)C(C)=C1)C3=CC=C(Cl)C=C3,5.88606
O(C=1C=C(C(NC)=O)N=CC1)C2=CC=C(NC(NC3=CC(C(F)(F)F)=C(Cl)C=C3)=O)C=C2,5.0
N(C(NC=1C2=C(C(OCCN3CCOCC3)=CC1)C=CC=C2)=O)C=4N(N=C(C(C)(C)C)C4)C5=CC=C(C)C=C5,4.52288
N(C(NC=1C2=C(C(OCCN3CCOCC3)=CC1)C=CC=C2)=O)C=4N(N=C(C(C)(C)C)C4)C5=CC=C(C)C=C5,5.0
N(C1=CC(N2CCN(CCO)CC2)=NC(C)=N1)C=3SC(C(NC4=C(C)C=CC=C4Cl)=O)=CN3,7.69897
N(C)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3N(C)C1=O,5.3279
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=NC=3C(S2)=CC(C)=CC3,6.58503
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(OC)=CC3)C4=CC=C(Cl)C=C4)C5=CC=CO5,5.37675
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(Cl)C=C4)C5=CC=CO5,4.51999
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC(Br)=CC=C4)C5=CC=CO5,4.50864
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(Br)C=C4)C5=CC=CO5,4.54975
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(OCC)C=C4)C5=CC=CS5,5.04096
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(C)C3)C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C)C=C5,5.35655
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(Cl)C=C4)C5=CC=C(F)C=C5,5.5376
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(F)C=C4)C5=CC=C(OCC)C=C5,5.25964
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(F)C3)C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C)C=C5,5.11919
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(F)C3)C4=CC(F)=CC=C4)C5=CC=C(OC)C=C5,4.76955
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC(F)=CC=C4)C5=CC=CO5,4.37059
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC(Cl)=CC=C4)C5=CC=CO5,4.54975
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC(Br)=CC=C4)C5=CC=CO5,4.53018
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC=C(Br)C=C4)C5=CC=CO5,4.54975
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(F)C3)C4=CC=C(C(C)(C)C)C=C4)C=5OC(C)=CC5,5.80967
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC(OC)=C(OC)C=C4)C5=CC=C(C)O5,4.42022
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC(Cl)=CC=C4)C5=CC=CS5,5.34679
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(OCC)C3)C4=CC=C(C)C=C4)C5=CC=CS5,5.35655
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(OCC)C3)C4=CC=C(C(C)(C)C)C=C4)C5=CC=CC=C5,5.30103
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(OCC)C3)C4=CC=C(Cl)C=C4)C5=CC=CC=C5,5.37675
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(OCC)C3)C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C)C=C5,5.69897
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3C)C4=CC=C(C(C)C)C=C4)C5=CC=C(Cl)C=C5,5.20066
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3C)C4=CC=CC=C4)C5=CC=CO5,4.20066
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3C)C4=CC=C(C(C)C)C=C4)C5=CC=C(C)O5,5.69897
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=C(C)C=C(C)C3)C4=C(OC)C=CC=C4)C=5OC(C)=CC5,4.44977
C(=C\1/C=2C(NC1=O)=CC=C(F)C2)\C3=C(C)C(C(NCCN(CC)CC)=O)=C(C)N3,6.80134
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(OCCCC)C=C4)C=5C=C6C(=CC5)OCCO6,5.33724
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(Cl)=CC3)C4=CC=C(OCCCC)C=C4)C=5C=C6C(=CC5)OCCO6,5.284
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(Cl)=CC3)C4=CC=C(C(C)(C)C)C=C4)C=5C=C6C(=CC5)OCCO6,5.60206
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(Cl)C3)C4=CC=C(OCCC)C=C4)C=5C=C6C(=CC5)OCCO6,5.30103
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(Cl)=CC3)C4=CC(OCC)=C(OCCCC)C=C4)C=5C=C6C(=CC5)OCCO6,5.4437
C(=O)(C=1C(N(C(=O)C1O)C=2SC=3C(N2)=CC=C(C)C3)C4=CC=C(OCCC)C=C4)C=5C=C6C(=CC5)OCCO6,5.69897
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(C)=CC3)C4=CC=C(OCCCCC)C=C4)C=5C=C6C(=CC5)OCCO6,5.284
N(CC)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3N(C)C1=O,5.0
C(=O)(C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3N(C)C1=O)C5=CC=CC=C5,4.45593
ClC1=C(C=2OC(/C=C\3/C(=O)N(CC(O)=O)C(=S)S3)=CC2)C=CC=C1,5.90309
ClC1=C(C=2OC(/C=C\3/C(=O)N(CCC(O)=O)C(=S)S3)=CC2)C=CC=C1,6.12494
C(\C=1OC(=CC1)C2=CC=C(N(=O)=O)C=C2)=C\3/C(=O)N(CCC(O)=O)C(=S)S3,6.18709
N(=O)(=O)C1=C(C=2OC(/C=C\3/C(=O)NC(=S)S3)=CC2)C=CC=C1,4.48149
C(=C\1/C(=O)N(CCC(O)=O)C(=S)S1)\C=2OC(=CC2)C3=CC(Cl)=CC=C3,6.0
N(C1=C2C(C=CN2CCNC(CC(C)(C)O)=O)=NC=N1)C3=CC(Cl)=C(OC4=CC(C(F)(F)F)=CC=C4)C=C3,5.0
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC=C(OCCCCC)C=C4)C=5C=C6C(=CC5)OC(C)C6,6.12494
N(C(N)=O)C=1C2=C(C=3C(S2)=CC=CC3)OC1C(N)=O,5.92082
N(C1=NC2=C(C=N1)C=C(Br)C=C2)C3=CC=CC=C3,5.0
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(F)=CC3)C4=CC(OCCC(C)C)=CC=C4)C=5C=C6C(=CC5)OC(C)C6,6.284
C(=O)(C1=C(NC(NC2=C(Cl)C(Cl)=CC=C2)=O)SC(C(C)(C)C)=C1)N3CCN(CCN(C)C)C(=O)CC3,4.52288
C(=C\1/C(=O)NC(=S)S1)\C=2C=CC=NC2,4.48149
C(=C\1/C(=O)NC(=S)S1)\C2=CC(Br)=CC=C2,4.48149
C(O)[C@H]1CN2C(=C(C(=N2)C3=CC=C(F)C=C3)C4=NN(C(=O)C=C4)C5=C(C)C=CC=C5)NC1,6.0
N(C1=C2C(=NC(N)=N1)N=CN2)C3=C(OC)C=CC(OC)=C3,4.72354
C(=O)(C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)N3CC(O)(C3)[C@@H]4CCCCN4,5.0
C(#CC1=CC(C(NC2=CC(C(F)(F)F)=C(CN3CCN(C)CC3)C=C2)=O)=CC=C1C)C=4N5C(=NC4)C=CC=N5,5.0
CC=1C=2C(OC1C(NC3=CC(=CC=C3)N4C=NN=N4)=O)=CC=CC2,4.77728
O(C[C@H](NC(=O)C=1C(=O)N(CC2=CC(F)=C(F)C=C2)C=CC1)C3=CC=CC=C3)C=4C=C5C(=CC4)NC(=O)N5,5.30103
C(=C\1/C(=O)N(CCCC(O)=O)C(=S)S1)\C=2OC(=CC2)C3=CC(Cl)=CC=C3,6.45593
N(C(=O)C1=CC=C(C(C(O)=O)(C)C)C=C1)C2=CN3C4=C(C=CC3=N2)OCC4,7.45593
N(C(=O)C=1C=CC(C(C)(C)C)=NC1)C2=CN3C4=C(C=CC3=N2)OCC4,6.88606
N(C(=O)C1=CC=C(C(C(O)=O)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C=4C=CSC4,7.72125
N(C(=O)C1=CC=C(C(C(O)=O)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C=4C=CSC4,7.72125
N(C(=O)C1=CC=C(C(C(NCCC=2NN=NN2)=O)(C)C)C=C1)C3=CN4C(=N3)C=CC(Cl)=C4,7.88606
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(Cl)C=C3,7.79588
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(Cl)C=C3,7.79588
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(Br)C=C3,7.67778
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(Br)C=C3,7.67778
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C=4C(C=CC3=N2)=CC=CC4,7.82391
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C=4C(C=CC3=N2)=CC=CC4,7.82391
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.90001
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.85387
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.85387
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.60206
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.85387
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.85387
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.27572
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.85387
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,8.0
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C=4C=CC=NC4,7.67778
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C=4C=CC=NC4,7.67778
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(F)C=C3,7.46852
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(F)C=C3,7.46852
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CC=C4,7.52288
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CC=C4,7.52288
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(C)C=C3,7.65758
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(C)C=C3,7.65758
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C4=CC=CC=C4,7.08619
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C4=CC=CC=C4,7.08619
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(CO)=C3,6.88941
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(CO)=C3,6.88941
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(CNC)C=C3,6.06048
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.1549
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.1549
N(C(=O)C=1C=CC(C(C)(C)C)=NC1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,6.79588
N(C(=O)C1=CC=C(C(CO)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.49485
N(C(=O)C1=CC=C(C(CO)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.49485
N(C(=O)C1=CC=C(C(CO)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)N4C=CN=C4,7.49485
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C4=CC=CS4,7.38722
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C=4C=NNC4,8.20066
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=C3)C=4C=NNC4,8.22185
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=N3)N4C=CN=C4,6.79588
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=N3)C4=CN=CN4,7.49485
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=CN3C(=N2)C=CC(=N3)C=4C=NNC4,7.46852
C(O)C=1N2C(=NC(NC(=O)C3=CC=C(C(C)(C)C)C=C3)=C2)C=CC1,7.52288
N(C1=NC2=C(C=C(Br)C=C2)C=N1)C3=CC=C(F)C=C3,5.0
N(C1=NC2=C(C=N1)C=C(Br)C=C2)C3=CC(NC(C)=O)=CC=C3,5.0
CC1=CC2=C(C=CN=C2N1)C=3SC(S(NCCN)(=O)=O)=CC3,6.60033
C(CN(C)C)(=O)N1C=2C(=CC(OC)=C(NC3=NC(NC4=C(C(NC)=O)C(F)=CC=C4)=C5C(=N3)NC=C5)C2)CC1,4.60206
N(C1=C2C(NC=N1)=NCCC(C(NCCO)=O)=C2)C3=CC(Cl)=C(OC4=C5C(SC=C5)=CC=C4)C=C3,5.0
N(C(=O)C=1C=CC=NC1)C2=NN3C(=CC=CC3=N2)C=4C=COC4,6.1549
N(C(=O)C1=CC=C(C(F)(F)F)C=C1)C2=NN3C(=CC=CC3=N2)C=4C=COC4,5.09691
N(C(COC)=O)C1=NN2C(=CC=CC2=N1)C=3C=COC3,4.76955
N(C(CCC(OC)=O)=O)C1=NN2C(=CC=CC2=N1)C=3C=COC3,5.1549
N(C(=O)C1CCCC1)C2=NN3C(=CC=CC3=N2)C4=CC=CN4,4.79588
N(C(=O)C1=CC=CC=C1)C2=NN3C(=CC=CC3=N2)C=4C=NNC4,4.82974
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=CC1)C4CC4,5.95861
N(CC1=CC=CO1)C=2N3C(=NC(NC(=O)C4=CC=CC=C4)=N3)C=CC2,5.16115
N(CC1CCCO1)C=2N3C(=NC(NC(=O)C4=CC=CC=C4)=N3)C=CC2,5.47108
N(C(CC)CO)C=1N2C(=NC(NC(=O)C3=CC=CC=C3)=N2)C=CC1,5.09691
N(C(=O)C1=CC=C(CNC(OC(C)(C)C)=O)C=C1)C2=NN3C(=CC=CC3=N2)C=4C=COC4,5.76955
N(C(=O)C1=CC=CC=C1)C2=NN3C(=N2)C=CC(=C3)C4=CC(OC)=C(O)C=C4.Cl,6.00436
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=CC1)C4CCCCCC4.Cl,6.74473
N(CC=1OC(C)=CC1)C=2N3C(=NC(NC(=O)C=4C=CC=NC4)=N3)C=CC2,5.00612
N(C(=O)C=1C=CC=NC1)C2=NN3C(=N2)C=CC(=C3)C4=CC(OC)=C(O)C=C4.Cl,6.58503
N(C=1N2C(=NC(NC(=O)C3=CC=CC=C3)=N2)C=CC1)C4CCN(C)CC4,5.38934
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1)C4CC4,7.04576
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1)C4CC4,7.03152
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1)C4CC4,4.88606
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1)C4CCCCC4,6.92082
N(C=1N2C(=NC(NC(=O)C3=CC=CC=C3)=N2)C=CC1)C4CCCOC4,5.77989
S(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=CC1)C4CCCCC4,5.72125
N(C=1N2C(=NC(NC(=O)C=3C=CC(=NC3)N4CCOCC4)=N2)C=CC1)C5CCCCC5,6.95861
N(C=1N2C(=NC(NC(=O)C3=CC=C(CN(C)C)C=C3)=N2)C=CC1)C4CCCCC4,5.22475
N(CC1CC1)C=2N3C(=NC(NC(=O)C=4C=CC=NC4)=N3)C=C(C(F)(F)F)C2,6.33724
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1)[C@H]4CC[C@H](C(OC)=O)CC4,6.1549
C(=C(C)C)C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=CC1.Cl,5.22915
N(C(CCNC(=O)C1=CC=CC=C1)=O)C2=NN3C(=CC=CC3=N2)C=4C=COC4,6.00436
N(C(C)C)C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1,7.37675
N(C(CC)C)C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1,7.25181
N(CC1CCCCC1)C=2N3C(=NC(NC(=O)C=4C=CC=NC4)=N3)C=CC2,6.28483
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(Cl)C1)C4CCC4,7.06048
N(C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(Cl)C1)C4CCCCC4,7.17393
N(CCCO)C=1N2C(=NC(NC(=O)C=3C=CC=NC3)=N2)C=C(C(F)(F)F)C1,6.70553
N(C=1N2C(=NC(NC(=O)C3=CC=C(CN(CCOC)C)C=C3)=N2)C=CC1)C4CCCCC4,6.27491
N(C=1N2C(=NC(NC(=O)C=3C=CC(NCCCO)=NC3)=N2)C=CC1)C4CCCCC4,7.04096
N(C=1N2C(=NC(NC(=O)C3=CC=C(CN(C)C)C=C3)=N2)C=C(C(F)(F)F)C1)C4CC4,5.9431
N(C(=O)C1=CC=C(CN2CCCCC2)C=C1)C3=NN4C(=N3)C=CC(=C4)C5=CC(OC)=C(O)C=C5,5.69897
N(C(=O)C1=CC=C(CN2C(=O)CCC2)C=C1)C3=NN4C(=N3)C=CC(=C4)C5=CC(OC)=C(O)C=C5,6.86012
N(C(=O)C1=CC=C(CN(C)C)C=C1)C2=NN3C(=N2)C=CC(=C3)C4=CC(OC)=C(O)C=C4,5.25964
N(C(CC)C)C=1N2C(=NC(NC(=O)C=3C=CC(NCCCO)=NC3)=N2)C=C(Cl)C1,6.92445
N(C1=C2C(N=CN2)=NC=N1)C3=CC(NC(C)=O)=CC=C3,5.0
N(C1=C(C=CC=N1)C=2N=C(NC3=CC=C(OC)C=C3)N=CN2)C4=CC(NC(=O)C5=CC(C(F)(F)F)=CC=C5)=CC=C4C,6.0
N(C1=C(C=CC=N1)C=2N=C(NC3=CC=C(OC)C=C3)N=CN2)C4=CC(NC(=O)C5=CC(C(F)(F)F)=CC=C5)=CC=C4C,5.0
N(C1=C2C(C=CN2CCNC(C(C)(C)N)=O)=NC=N1)C3=CC(Cl)=C(OC4=C5C(SN=C5)=CC=C4)C=C3,5.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)C4=CC(NS(C)(=O)=O)=CC=C4,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)C4=CC=C(C)C=C4,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)C4=CC=C(C(N)=O)C=C4,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)C4=CC=C(SC)C=C4,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)C4=CC=C(C(F)(F)F)C=C4,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)N4CC=5C(CC4)=CC=CC5,7.0
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2C=C(N3C(N2)=CC=N3)N4CC=5C(CC4)=CC=CC5,7.0
C(O)[C@H]1N(C=2N3C(N=C(NC(=O)C4=CC=C(C(C)(C)O)C=C4)C2)=CC=N3)CCC1,7.0
C(O)[C@@H]1N(C=2N3C(N=C(NC(=O)C4=CC=C(C(C)(C)O)C=C4)C2)=CC=N3)CCC1,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)N4C[C@H](O)CC4,7.0
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)N4C[C@@H](O)CC4,7.0
