SMILES,pIC50,canonical_smiles
C(C)(C)N1C(C=2N=C(NC(=O)C3=CC=4C(O3)=CC=CC4)C=CC2)=NN=C1,6.81816,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3o2)n1
C(C)(C)N1C(=NN=N1)C=2N=C(NC(=O)C=3C=C4C(=CC3F)N=C(N(CC)CC)S4)C=CC2,6.0,CCN(CC)c1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2s1
COC1=CC=C(C=C1)CCNC2=C3C(=NC(=N2)NC4CCN(CC4)CC5=CC=CC=C5)N(C=N3)C6CCCCC6,1.6510140431921427,COc1ccc(CCNc2nc(NC3CCN(Cc4ccccc4)CC3)nc3c2ncn3C2CCCCC2)cc1
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)N4C[C@@H](O)CCC4,7.0,CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@H](O)C3)n3nccc3n2)cc1
C(C)(C)N1C(C=2C=C3C(=NNC3=CC2)C4=CC(=CC=C4)N5N=C(N=C5)C6CC6)=NN=C1,5.05173,CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-n4cnc(C5CC5)n4)c3)c2c1
CN(C)C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)NC(=O)COC3=CC4=C(C=C3)C(=O)C=CO4,2.0,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1
CC1=CC(=NC(=N1)NC2=CC=CC=C2)NC3=CC=C(C=C3)N4CCOCC4,2.1894986522334703,Cc1cc(Nc2ccc(N3CCOCC3)cc2)nc(Nc2ccccc2)n1
CN(C)C1=CC=CC(=C1)NC2=NC=CC(=C2)C(=O)NCCC3=CC=C(C=C3)OC,1.6983841021804806,COc1ccc(CCNC(=O)c2ccnc(Nc3cccc(N(C)C)c3)c2)cc1
C[C@H]1CN2C(C=3NC(=NC(=O)C=4C(OCC1)=CC(F)=CC4)C=CC3)=NN=C2,7.02228,C[C@@H]1CCOc2cc(F)ccc2C(=O)N=C2C=CC=C(N2)c2nncn2C1
C(C)(C)N1C(C=2N=C(NC(NC3=CC(NC)=CC=N3)=O)C=CC2)=NN=C1,7.30103,CNc1ccnc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)c1
C(C)(C)N1C(C=2N=C(NC(NC3=CC=C(C=N3)N4C=C(N=C4)C5CC5)=O)C=CC2)=NN=C1,7.30103,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-n3cnc(C4CC4)c3)cn2)n1
N(C(=O)C1=CC(=CC=N1)N2C=C(N=C2)C3CC3)C4=C5C(C=6N(C[C@@H](C)O5)C=NN6)=CC=C4,7.6073,C[C@@H]1Cn2cnnc2-c2cccc(NC(=O)c3cc(-n4cnc(C5CC5)c4)ccn3)c2O1
C(C)(C)N1C(C=2N=C(C=CC2)N3C(=O)N(CCN4C=C(N=C4)C5CC5)CC3)=NN=C1,7.96658,CC(C)n1cnnc1-c1cccc(N2CCN(CCn3cnc(C4CC4)c3)C2=O)n1
C(NC=1N=C(C=CC1)C=2N([C@@H](CO)C)N=NN2)(=O)C=3C=C4C(=CC3OC)CCN(C([C@](C(F)(F)F)(C)O)=O)C4,8.90309,COc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)CN(C(=O)[C@](C)(O)C(F)(F)F)CC2
N(C(=O)C=1C=CC(C(C)(C)O)=NC1)C=2C=C(N3C(N2)=CC(C)=N3)C4=CC=CC=C4,7.0,Cc1cc2nc(NC(=O)c3ccc(C(C)(C)O)nc3)cc(-c3ccccc3)n2n1
ClC1=C(C=2OC(/C=C\3/C(=O)N(CCCCCC(O)=O)C(=S)S3)=CC2)C=CC=C1,6.30103,O=C(O)CCCCCN1C(=O)/C(=C/c2ccc(-c3ccccc3Cl)o2)SC1=S
[C@H](CO)(C)N1C(=NN=N1)C=2N=C(NC(=O)C3=CC(=C(C)C=N3)C4=CN(C(F)(F)F)N=C4)C=CC2,8.25964,Cc1cnc(C(=O)Nc2cccc(-c3nnnn3[C@H](C)CO)n2)cc1-c1cnn(C(F)(F)F)c1
[C@H](COC(C)=O)(C)N1C(=NN=N1)C=2N=C(NC(=O)C3=CC(=C(C)C=C3F)N4C=C(N=C4)C5CC5)C=CC2,7.0,CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1
C(NC=1N=C(C=CC1)C=2N([C@@H](CO)C)N=NN2)(=O)C=3C=C4C(=CC3OC)CCN(C4)C=5C=NC(F)=CN5,8.25181,COc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)CN(c1cnc(F)cn1)CC2
C(C)(C)N1C(=NN=C1)C=2N=C(NC(=O)C=3NC(C)=CC3)C=CC2,7.46344,Cc1ccc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]1
C(C)(C)N1C(=NN=C1)C=2N=C(NC(NC3=C(OC)C=CC=N3)=O)C=CC2,7.30103,COc1cccnc1NC(=O)Nc1cccc(-c2nncn2C(C)C)n1
CC=1C2=C(N=CN=C2NC1)N3CCC(NC(=O)C4=CC(OCCN5CC[C@@H](F)C5)=CC=C4)CC3.Cl,5.5,Cc1c[nH]c2ncnc(N3CCC(NC(=O)c4cccc(OCCN5CC[C@@H](F)C5)c4)CC3)c12.Cl
C(C)(C)N1C(=NN=C1)C=2N=C(NC(=O)C=3C=C4C(=CC3F)N=C(N(C)C5CC5)S4)C=CC2,9.0,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3sc(N(C)C4CC4)nc3cc2F)n1
[C@H](CO)(C)N1C(=NN=N1)C=2N=C(NC(=O)C=3C=C4C(=CN3)CCN(C(OCCC)=O)C4)C=CC2,8.25964,CCCOC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1
N(C(=O)C1=CC(=C(C)C=C1F)N2C=C(N=C2)C3CC3)C4=C5C(C=6N(C(C)(C)CO5)C=NN6)=CC=C4,8.25181,Cc1cc(F)c(C(=O)Nc2cccc3c2OCC(C)(C)n2cnnc2-3)cc1-n1cnc(C2CC2)c1
O=C1C2=C3C(=C4C(=C2CN1)C=5C(N4)=CC=C(O)C5)N(C=6C3=CC=CC6)[C@H]7C[C@@H](NC(C)=O)[C@@H](O)[C@H](C)O7,4.30103,CC(=O)N[C@@H]1C[C@H](n2c3ccccc3c3c4c(c5c6cc(O)ccc6[nH]c5c32)CNC4=O)O[C@@H](C)[C@@H]1O
C1CC(=O)N(C1)CCCNC2=C3C(=NC(=N2)NC4=CC=C(C=C4)N5C=CN=C5)N(C=N3)C6=CSC=C6,1.7013215494398126,O=C1CCCN1CCCNc1nc(Nc2ccc(-n3ccnc3)cc2)nc2c1ncn2-c1ccsc1
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn(C)c2)n1,5.73,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn(C)c2)n1
N(C1=NC2=C(C=N1)C=CC=C2)C3=CC=C(F)C=C3,5.0,Fc1ccc(Nc2ncc3ccccc3n2)cc1
C(NC1=C2C(C=3N([C@H](C)CO2)C=NN3)=CC=C1)(=O)C=4C=C(C(=CN4)N5CCOCC5)N6C=C(N=C6)C7CC7,8.25964,C[C@@H]1COc2c(NC(=O)c3cc(-n4cnc(C5CC5)c4)c(N4CCOCC4)cn3)cccc2-c2nncn21
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2C=C(N3C(N2)=CC=N3)N4CC(O)CCC4,7.0,CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCC(O)C3)n3nccc3n2)cc1
O=C1C=2C(CN1C=3N=C(C=CC3)C=4N(C=NN4)C5CC5)=CC=C(C2)N6C=C(N=N6)C7CC7,6.69897,O=C1c2cc(-n3cc(C4CC4)nn3)ccc2CN1c1cccc(-c2nncn2C2CC2)n1
C(NC=1N=C(C=CC1)N2C(C(C)C)=NN=N2)(=O)C=3C=C4C(=CC3F)CCN(S(CCC(F)(F)F)(=O)=O)C4,6.0,CC(C)c1nnnn1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(S(=O)(=O)CCC(F)(F)F)C3)n1
FC1=C(C=C2C(=C1)OCCCCN3C(C=4NC(=NC2=O)C=CC4)=NN=C3)C=5C=C(C(F)(F)F)N=CC5,7.0,O=C1N=C2C=CC=C(N2)c2nncn2CCCCOc2cc(F)c(-c3ccnc(C(F)(F)F)c3)cc21
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2SC=3C(N2)=CC=C(N3)C=4C=NNC4,7.0,CC(C)(C)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1
C(=C\1/C(=O)N(NC2=CC=CC=C2)C(=S)S1)\C3=C(Cl)C=C(Cl)C=C3,4.48149,O=C1/C(=C/c2ccc(Cl)cc2Cl)SC(=S)N1Nc1ccccc1
C(C)(C)N1C(C=2C=C3C(=NNC3=CC2)C4=CC(=C(C=C4)N5CCOCC5)N6C=C(N=C6)C7CC7)=NN=C1,4.93431,CC(C)n1cnnc1-c1ccc2[nH]nc(-c3ccc(N4CCOCC4)c(-n4cnc(C5CC5)c4)c3)c2c1
C(C)N1C=2C(C(C)=C1)=CN=C(NC(=O)C3=CC=C(C(C)(C)O)C=C3)C2,7.69897,CCn1cc(C)c2cnc(NC(=O)c3ccc(C(C)(C)O)cc3)cc21
C(C)(C)(C)N1C(=NN=C1)C=2N=C(NC(=O)C=3C(OC)=NN(C)C3)C=CC2,7.0,COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C(C)(C)C)n1
C(C)(C)N1C(=NN=N1)C=2N=C(NC(=O)C=3C=C4C(=CC3)CNC4)C=CC2,6.0,CC(C)n1nnnc1-c1cccc(NC(=O)c2ccc3c(c2)CNC3)n1
O=C1N=C2NC(C=3N(C=NN3)CCC[C@@H](C)OC=4C1=CC(=CC4)N5C=C(C)N=C5)=CC=C2,7.0,Cc1cn(-c2ccc3c(c2)C(=O)N=C2C=CC=C(N2)c2nncn2CCC[C@@H](C)O3)cn1
C(C)(C)N1C(C=2N=C(C=CC2)C=3OC(=CN3)C4=CC(=CC=C4)C5CC5)=NN=C1,7.30103,CC(C)n1cnnc1-c1cccc(-c2ncc(-c3cccc(C4CC4)c3)o2)n1
O=C1C=2C(CN1C=3N=C(C=CC3)C=4N(C(C)C)C=NN4)=CC=C(C2)C5=CC=C(C(O)=O)C=C5,8.26761,CC(C)n1cnnc1-c1cccc(N2Cc3ccc(-c4ccc(C(=O)O)cc4)cc3C2=O)n1
C(NC=1N=C(SC1)C=2N([C@H](C(F)(F)F)C)C=NN2)(=O)C=3C=C(C(=CN3)N4CCCCC4)N5C=C(N=C5)C6CC6,9.1549,C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCCCC3)cn2)cs1)C(F)(F)F
N(C(=O)C1=C(OC)C=C2C(=C1)CN(C(OCC)=O)CC2)C3=NC(C=4N5C(=NN4)CCC5)=CC=C3,8.25181,CCOC(=O)N1CCc2cc(OC)c(C(=O)Nc3cccc(-c4nnc5n4CCC5)n3)cc2C1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC(=C5C(=N4)N(C=N5)C6=CSC=C6)NC7=CC=C(C=C7)N8CCOCC8,1.8408540721459528,c1cc(-n2cnc3c(Nc4ccc(N5CCOCC5)cc4)nc(N4CCN(Cc5ccc6c(c5)OCO6)CC4)nc32)cs1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)(C)C#N,5.853871964321762,CC(n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CC(C)(C#N)C3)cn2)cs1)C(F)(F)F
C(C)(C)N1C(=NN=C1)C=2N=C(NC(=O)C3=CC(=CN3)C4=CC(C)=CC=C4)C=CC2,8.39794,Cc1cccc(-c2c[nH]c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c2)c1
[C@H](C(F)(F)F)(C)N1C(=NN=C1)C=2N=C(NC(=O)C=3C(OC)=NN(C)C3)C=CC2,7.02687,COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@H](C)C(F)(F)F)n1
O=C1N(C=2N=C(C=CC2)C=3N(C(C)C)C=NN3)CCN1C4=CC=C(C=C4)N5C(=O)COC(C)C5,7.0,CC1CN(c2ccc(N3CCN(c4cccc(-c5nncn5C(C)C)n4)C3=O)cc2)C(=O)CO1
CC1CCCOC2=C(C=CC(=C2)F)C(=O)NC3=CC=CC(=N3)C4=NN=CN14,5.154901959985743,CC1CCCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn21
N(C1=NC2=C(C=N1)C=CC=C2)C3=CC=CC=C3,5.0,c1ccc(Nc2ncc3ccccc3n2)cc1
CC1=C(C(=CC=C1)Cl)NC(=O)NC2=CN(N=C2)C3=CC=CC(=C3)C(=O)NC4=CC(=C(C(=C4)OC)OC)OC,1.7161110620239435,COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4c(C)cccc4Cl)cn3)c2)cc(OC)c1OC
C(C)(C)N1C(C=2C=C3C(=NNC3=CC2)C4=CC(=CC(=C4)N5CCOCC5)N6C=C(N=C6)C7CC7)=NN=C1,7.12494,CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cc(N4CCOCC4)cc(-n4cnc(C5CC5)c4)c3)c2c1
N(C(=O)C1=CC(=C(C)C=C1F)N2C=C(N=C2)C3CC3)C4=C5OCC6(N7C(C5=CC=C4)=NN=N7)CC6,8.37675,Cc1cc(F)c(C(=O)Nc2cccc3c2OCC2(CC2)n2nnnc2-3)cc1-n1cnc(C2CC2)c1
CC1=C(C=2C3=C(C=C(C=C3)C4=CC(NC(=O)C=5C=C(N=CC5)N6CCOCC6)=CC=C4C)C=NN2)C=CC(C(NCCOCCOCCNC([C@@H](CC7=CC=C(C(=O)C8=CC=CC=C8)C=C7)NC(CCCC#C)=O)=O)=O)=C1,5.69897,C#CCCCC(=O)N[C@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)NCCOCCOCCNC(=O)c1ccc(-c2nncc3cc(-c4cc(NC(=O)c5ccnc(N6CCOCC6)c5)ccc4C)ccc23)c(C)c1
O=C1C=2C(SCN1C=3N=C(C=CC3)C=4N(C(C)C)C=NN4)=CC=C(C2)C5=CN(N=C5)C6CC6,7.5817,CC(C)n1cnnc1-c1cccc(N2CSc3ccc(-c4cnn(C5CC5)c4)cc3C2=O)n1
O=C1N(C2=NC(C=3N(C=NN3)C4CC4)=CC=C2)CC=5C1=CC=CC5,6.69897,O=C1c2ccccc2CN1c1cccc(-c2nncn2C2CC2)n1
CC1=CC(=C2C(=C1)SC(=N2)N3C(C(=C(C4=CC=C(C=C4)Cl)O)C(=O)C3=O)C5=CC=C(C=C5)C(C)C)C,2.2006594505464183,Cc1cc(C)c2nc(N3C(=O)C(=O)C(=C(O)c4ccc(Cl)cc4)C3c3ccc(C(C)C)cc3)sc2c1
O=C1C=2C(CN1C=3N=C(C=CC3)C=4N(C=NN4)C5CC5)=CC(=CC2)C=6C=CNN6,6.69897,O=C1c2ccc(-c3cc[nH]n3)cc2CN1c1cccc(-c2nncn2C2CC2)n1
N(C(=O)C1=CC=C(C(C)(C)O)C=C1)C=2C=C(N3C(N2)=CC=N3)N4CCOCC4,7.0,CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCOCC3)n3nccc3n2)cc1
C(N(C)C)(=O)N1CC=2C(C1)=CC=C(C(NC=3N=C(C=CC3)C=4N(C(C)C)N=NN4)=O)C2,6.25964,CC(C)n1nnnc1-c1cccc(NC(=O)c2ccc3c(c2)CN(C(=O)N(C)C)C3)n1
CC=1C=2C(=CC(NC(=O)C3=CC=C(C(C)(C)O)C=C3)=NC2)N(C)C1,7.5376,Cc1cn(C)c2cc(NC(=O)c3ccc(C(C)(C)O)cc3)ncc12
N(C(=O)C1=CC=C(C(CO)(C)C)C=C1)C=2SC=3C(N2)=CC=C(N3)C=4C=NNC4,7.0,CC(C)(CO)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC=CC=C3OC,5.522878745280337,COc1ccccc1C(=O)Nc1cccc(-c2nncn2C(C)C(F)(F)F)n1
C(C)(C)N1C(=NN=N1)C=2N=C(NC(=O)C=3C=C4C(=CC3F)N=C(S4)N5CCCC5)C=CC2,6.0,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc3sc(N4CCCC4)nc3cc2F)n1
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C=2N=C3N(C2)C=C(CNC)C=C3,6.06048,CNCc1ccc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)cn2c1
C(C)(C)N1C(=NN=C1)C=2N=C(NC(NC3=CC(C(N)=O)=CC=N3)=O)C=CC2,7.30103,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C(N)=O)ccn2)n1
Cc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1,7.48,Cc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1
C(NC=1N=C(C=CC1)C=2N(C(C)C)C=NN2)(=O)C=3C=C4C(=CC3OC)CCN(C(OC(C)(C)C)=O)C4,6.95861,COc1cc2c(cc1C(=O)Nc1cccc(-c3nncn3C(C)C)n1)CN(C(=O)OC(C)(C)C)CC2
CN(C)C1=CC=CC(=C1)NC2=NC3=CC(=C(C=C3C(=N2)NCCOC4=CC=CC=C4)OC)OC,2.1683221508085335,COc1cc2nc(Nc3cccc(N(C)C)c3)nc(NCCOc3ccccc3)c2cc1OC
C(NC=1N=C(C=CC1)C=2N(C(C)C)N=NN2)(=O)C=3C=C4C(=CC3F)CCN(C(N(C)C)=O)C4,7.25964,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)N(C)C)C3)n1
O=C1N(C=2N=C(C=CC2)C=3N(C(C)C)C=NN3)CCN1C=4C=C(N=CC4)N5CCOCC5,6.0,CC(C)n1cnnc1-c1cccc(N2CCN(c3ccnc(N4CCOCC4)c3)C2=O)n1
C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)NC4=CC5=C(C=C4)OCO5,1.830560701021059,c1cc(Nc2ccc3c(c2)OCO3)nc(Nc2ccc(N3CCOCC3)cc2)n1
CN1N=C(C(F)(F)F)C2C=C(C(=O)Nc3cccc(-c4nncn4C4CC4)c3)C(=O)NC21,5.57,CN1N=C(C(F)(F)F)C2C=C(C(=O)Nc3cccc(-c4nncn4C4CC4)c3)C(=O)NC21
CC1(C)C=2C(=CC(C(NC=3N=C(C=CC3)C=4N(C(C)C)C=NN4)=O)=C(F)C2)NC(=O)C1,6.9914,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)C(C)(C)CC(=O)N3)n1
